Date,Open,High,Low,Close,Adj Close,Volume,Tesla Trend,Musk Trend,GM Trend,EV Trend,Coronavirus Trend,Month,Day of the Month,Day of the Week,Day of the Year,Year
2015-02-27,41.380001,41.709999,40.560001,40.667999,40.667999,19410500.0,9.54,2.16,61.6,19.68,0.0,2,27,4,58,2015
2015-03-02,40.540001,40.667999,39.166,39.466,39.466,39610500.0,9.72,1.68,67.19999999999999,16.5,0.0,3,2,0,61,2015
2015-03-03,39.362,40.048,39.063999,39.911999,39.911999,22161500.0,10.08,1.62,68.6,12.5,0.0,3,3,1,62,2015
2015-03-04,39.849998,40.504002,39.442001,40.487999,40.487999,21110000.0,10.8,1.44,62.99999999999999,13.75,0.0,3,4,2,63,2015
2015-03-05,40.57,41.237999,40.029999,40.125999,40.125999,24385000.0,9.9,1.65,62.99999999999999,13.5,0.0,3,5,3,64,2015
2015-03-06,39.841999,40.150002,38.43,38.776001,38.776001,33562000.0,11.7,1.44,58.1,25.0,0.0,3,6,4,65,2015
2015-03-09,38.877998,38.897999,37.650002,38.175999,38.175999,33683500.0,11.16,1.29,70.0,15.0,0.0,3,9,0,68,2015
2015-03-10,37.692001,38.700001,37.52,38.063999,38.063999,27898500.0,10.62,1.17,67.89999999999999,12.75,0.0,3,10,1,69,2015
2015-03-11,38.23,39.236,38.202,38.748001,38.748001,24874500.0,10.26,1.35,62.3,12.75,0.0,3,11,2,70,2015
2015-03-12,38.75,38.889999,37.950001,38.214001,38.214001,20746500.0,10.44,1.38,67.19999999999999,12.75,0.0,3,12,3,71,2015
2015-03-13,37.790001,38.349998,37.464001,37.736,37.736,27171500.0,10.8,1.38,65.1,13.5,0.0,3,13,4,72,2015
2015-03-16,38.400002,39.181999,37.959999,39.139999,39.139999,28144000.0,12.78,1.77,67.89999999999999,14.25,0.0,3,16,0,75,2015
2015-03-17,39.085999,39.742001,38.787998,38.945999,38.945999,24470500.0,11.52,2.07,64.39999999999999,12.0,0.0,3,17,1,76,2015
2015-03-18,38.992001,40.175999,38.622002,40.141998,40.141998,24104500.0,11.88,2.91,65.8,12.75,0.0,3,18,2,77,2015
2015-03-19,40.400002,40.917999,38.905998,39.130001,39.130001,42376000.0,18.0,2.58,63.7,15.0,0.0,3,19,3,78,2015
2015-03-20,39.490002,39.798,39.124001,39.616001,39.616001,21347500.0,14.22,1.86,58.1,13.25,0.0,3,20,4,79,2015
2015-03-23,39.700001,40.099998,39.493999,39.925999,39.925999,13158000.0,10.98,2.04,66.5,18.0,0.0,3,23,0,82,2015
2015-03-24,40.316002,40.757999,39.950001,40.344002,40.344002,18249500.0,10.98,1.98,65.1,14.0,0.0,3,24,1,83,2015
2015-03-25,39.653999,39.717999,38.540001,38.860001,38.860001,28652000.0,12.42,2.19,57.4,19.75,0.0,3,25,2,84,2015
2015-03-26,38.784,38.958,37.939999,38.082001,38.082001,20640000.0,10.8,1.14,64.39999999999999,16.75,0.0,3,26,3,85,2015
2015-03-27,37.813999,37.858002,36.279999,37.0,37.0,43024500.0,10.8,1.74,57.4,13.5,0.0,3,27,4,86,2015
2015-03-30,37.169998,38.450001,36.360001,38.113998,38.113998,50447500.0,12.06,2.49,62.3,15.25,0.0,3,30,0,89,2015
2015-03-31,38.706001,38.751999,37.681999,37.754002,37.754002,25133000.0,13.86,3.0,61.6,15.0,0.0,3,31,1,90,2015
2015-04-01,37.740002,38.459999,37.209999,37.518002,37.518002,18973000.0,12.8,1.8,61.6,15.6,0.0,4,1,2,91,2015
2015-04-02,38.046001,38.646,38.0,38.200001,38.200001,25052000.0,14.0,1.72,56.7,15.86,0.0,4,2,3,92,2015
2015-04-06,39.599998,41.549999,39.5,40.619999,40.619999,62279000.0,14.4,1.64,56.7,10.92,0.0,4,6,0,96,2015
2015-04-07,40.501999,41.012001,40.228001,40.650002,40.650002,21739500.0,13.0,1.32,63.7,12.74,0.0,4,7,1,97,2015
2015-04-08,41.639999,42.18,41.174,41.534,41.534,31515500.0,18.2,2.0,61.6,23.4,0.0,4,8,2,98,2015
2015-04-09,41.686001,42.074001,41.223999,42.018002,42.018002,19001000.0,15.0,1.48,57.4,15.34,0.0,4,9,3,99,2015
2015-04-10,41.970001,42.330002,41.799999,42.18,42.18,20338500.0,13.2,1.24,57.4,19.76,0.0,4,10,4,100,2015
2015-04-13,42.088001,42.599998,41.810001,41.956001,41.956001,18791000.0,13.0,1.92,66.5,12.74,0.0,4,13,0,103,2015
2015-04-14,41.714001,41.897999,41.099998,41.492001,41.492001,15130000.0,11.6,4.0,59.49999999999999,15.86,0.0,4,14,1,104,2015
2015-04-15,41.492001,41.917999,41.32,41.566002,41.566002,9762000.0,11.6,3.92,60.9,18.72,0.0,4,15,2,105,2015
2015-04-16,41.540001,41.834,41.257999,41.34,41.34,8295500.0,12.2,3.4,65.8,17.68,0.0,4,16,3,106,2015
2015-04-17,40.998001,41.375999,40.700001,41.358002,41.358002,12349500.0,12.8,3.12,60.2,13.78,0.0,4,17,4,107,2015
2015-04-20,41.355999,41.57,40.77,41.054001,41.054001,12796500.0,12.2,2.24,62.99999999999999,16.12,0.0,4,20,0,110,2015
2015-04-21,41.16,42.150002,40.862,41.882,41.882,17162500.0,12.0,2.52,62.3,20.8,0.0,4,21,1,111,2015
2015-04-22,42.5,44.375999,42.338001,43.888,43.888,39315000.0,13.2,2.4,60.2,24.18,0.0,4,22,2,112,2015
2015-04-23,43.653999,44.296001,43.43,43.720001,43.720001,22056000.0,14.2,2.44,67.19999999999999,17.94,0.0,4,23,3,113,2015
2015-04-24,44.099998,44.16,43.602001,43.686001,43.686001,12139000.0,13.6,1.8,57.4,26.0,0.0,4,24,4,114,2015
2015-04-27,44.512001,47.75,44.400002,46.310001,46.310001,58363000.0,14.4,2.52,65.8,9.36,0.0,4,27,0,117,2015
2015-04-28,46.950001,47.099998,45.605999,46.096001,46.096001,30427000.0,13.0,2.36,61.6,15.08,0.0,4,28,1,118,2015
2015-04-29,46.009998,46.993999,45.526001,46.490002,46.490002,19680500.0,11.4,2.16,60.9,18.98,0.0,4,29,2,119,2015
2015-04-30,46.077999,46.577999,45.034,45.209999,45.209999,19559500.0,20.0,3.04,70.0,13.26,0.0,4,30,3,120,2015
2015-05-01,45.987999,46.354,44.082001,45.206001,45.206001,26408500.0,27.0,5.0,59.16,21.6,0.0,5,1,4,121,2015
2015-05-04,45.636002,46.945999,45.422001,46.102001,46.102001,22173000.0,10.8,1.95,64.60000000000001,17.55,0.0,5,4,0,124,2015
2015-05-05,47.551998,47.900002,45.826,46.59,46.59,28984500.0,9.72,2.0500000000000003,61.2,22.950000000000003,0.0,5,5,1,125,2015
2015-05-06,46.82,46.894001,45.639999,46.085999,46.085999,26354500.0,10.53,2.2,53.720000000000006,20.790000000000003,0.0,5,6,2,126,2015
2015-05-07,44.200001,47.495998,44.049999,47.360001,47.360001,47279500.0,13.5,2.4000000000000004,57.120000000000005,22.41,0.0,5,7,3,127,2015
2015-05-08,47.198002,47.681999,46.740002,47.321999,47.321999,23341000.0,10.260000000000002,1.8,60.52,12.420000000000002,0.0,5,8,4,128,2015
2015-05-11,47.257999,48.576,47.062,47.897999,47.897999,28361500.0,7.0200000000000005,1.65,61.88,14.04,0.0,5,11,0,131,2015
2015-05-12,48.021999,49.27,47.638,48.948002,48.948002,31817000.0,8.100000000000001,2.9000000000000004,64.60000000000001,27.0,0.0,5,12,1,132,2015
2015-05-13,49.521999,49.66,48.450001,48.636002,48.636002,27201000.0,7.290000000000001,2.1,56.440000000000005,19.98,0.0,5,13,2,133,2015
2015-05-14,48.964001,48.978001,48.25,48.82,48.82,14479500.0,7.290000000000001,2.3000000000000003,59.16,15.66,0.0,5,14,3,134,2015
2015-05-15,48.785999,49.880001,48.5,49.768002,49.768002,22638000.0,7.0200000000000005,1.95,65.28,14.580000000000002,0.0,5,15,4,135,2015
2015-05-18,49.400002,49.98,49.200001,49.75,49.75,16766000.0,7.290000000000001,1.6,63.92,14.04,0.0,5,18,0,138,2015
2015-05-19,49.686001,50.200001,49.23,49.428001,49.428001,18371000.0,7.0200000000000005,1.35,63.92,14.31,0.0,5,19,1,139,2015
2015-05-20,49.425999,49.548,48.273998,48.869999,48.869999,18778000.0,6.48,1.35,66.64,12.96,0.0,5,20,2,140,2015
2015-05-21,48.605999,49.324001,48.472,49.124001,49.124001,9853000.0,7.56,1.35,59.16,13.5,0.0,5,21,3,141,2015
2015-05-22,49.076,49.720001,49.001999,49.546001,49.546001,11115500.0,7.0200000000000005,1.2000000000000002,60.52,16.740000000000002,0.0,5,22,4,142,2015
2015-05-26,49.535999,50.400002,49.299999,49.492001,49.492001,17493500.0,6.48,1.05,61.2,13.23,0.0,5,26,1,146,2015
2015-05-27,49.702,49.900002,49.110001,49.486,49.486,17041000.0,6.48,1.2000000000000002,63.24,17.82,0.0,5,27,2,147,2015
2015-05-28,49.405998,50.360001,49.009998,50.290001,50.290001,18236500.0,6.210000000000001,0.95,64.60000000000001,17.82,0.0,5,28,3,148,2015
2015-05-29,50.200001,50.574001,49.886002,50.16,50.16,18946500.0,6.75,1.15,68.0,8.91,0.0,5,29,4,149,2015
2015-06-01,50.282001,50.32,49.493999,49.889999,49.889999,12525500.0,16.8,1.52,64.39999999999999,17.16,0.0,6,1,0,152,2015
2015-06-02,49.784,49.880001,49.259998,49.669998,49.669998,10674000.0,16.2,1.2,65.1,11.7,0.0,6,2,1,153,2015
2015-06-03,49.639999,50.144001,49.402,49.798,49.798,8907500.0,15.6,1.08,57.4,11.96,0.0,6,3,2,154,2015
2015-06-04,49.5,49.860001,49.141998,49.183998,49.183998,12268000.0,15.0,1.0,56.7,18.2,0.0,6,4,3,155,2015
2015-06-05,49.200001,49.939999,49.136002,49.827999,49.827999,15110000.0,15.4,1.04,58.1,15.08,0.0,6,5,4,156,2015
2015-06-08,50.169998,51.75,50.062,51.257999,51.257999,25085000.0,14.2,1.0,55.3,13.0,0.0,6,8,0,159,2015
2015-06-09,51.080002,51.548,50.827999,51.200001,51.200001,13055500.0,16.6,1.56,60.2,11.7,0.0,6,9,1,160,2015
2015-06-10,50.380001,50.799999,49.700001,50.139999,50.139999,17272500.0,19.8,1.04,55.3,13.0,0.0,6,10,2,161,2015
2015-06-11,50.652,50.874001,50.085999,50.282001,50.282001,10220500.0,18.6,1.36,60.9,10.92,0.0,6,11,3,162,2015
2015-06-12,50.042,50.692001,50.042,50.138,50.138,7111500.0,17.6,1.32,58.8,12.74,0.0,6,12,4,163,2015
2015-06-15,49.939999,50.256001,49.202,50.076,50.076,10931000.0,18.4,1.08,59.49999999999999,13.0,0.0,6,15,0,166,2015
2015-06-16,50.026001,50.688,49.82,50.624001,50.624001,9923500.0,19.0,1.28,56.0,26.0,0.0,6,16,1,167,2015
2015-06-17,50.433998,52.872002,50.403999,52.082001,52.082001,27564500.0,16.6,0.88,57.4,20.28,0.0,6,17,2,168,2015
2015-06-18,52.400002,52.692001,52.004002,52.377998,52.377998,13913500.0,17.8,0.96,59.49999999999999,11.96,0.0,6,18,3,169,2015
2015-06-19,52.48,52.759998,52.02,52.501999,52.501999,12315000.0,16.400000000000002,0.88,62.3,18.98,0.0,6,19,4,170,2015
2015-06-22,52.43,52.880001,51.138,51.958,51.958,22805500.0,16.400000000000002,1.08,65.1,14.56,0.0,6,22,0,173,2015
2015-06-23,52.063999,53.599998,51.714001,53.534,53.534,19354000.0,18.0,0.76,57.4,14.3,0.0,6,23,1,174,2015
2015-06-24,53.396,53.470001,52.743999,53.034,53.034,12061500.0,16.8,0.84,58.1,15.6,0.0,6,24,2,175,2015
2015-06-25,53.290001,54.282001,53.049999,53.757999,53.757999,14246000.0,17.0,0.88,63.7,15.6,0.0,6,25,3,176,2015
2015-06-26,53.778,53.821999,53.200001,53.417999,53.417999,19192000.0,16.8,1.0,59.49999999999999,13.78,0.0,6,26,4,177,2015
2015-06-29,52.389999,53.189999,52.139999,52.403999,52.403999,17394500.0,15.4,2.4,59.49999999999999,11.96,0.0,6,29,0,180,2015
2015-06-30,52.959999,54.183998,52.799999,53.652,53.652,15434500.0,14.2,1.48,70.0,15.6,0.0,6,30,1,181,2015
2015-07-01,54.222,54.523998,53.57,53.830002,53.830002,10506000.0,11.44,2.19,71.78,9.75,0.0,7,1,2,182,2015
2015-07-02,56.040001,56.490002,54.661999,56.004002,56.004002,35819500.0,12.98,1.77,68.08,16.0,0.0,7,2,3,183,2015
2015-07-06,55.776001,56.338001,55.259998,55.944,55.944,20609500.0,11.0,2.31,71.03999999999999,11.25,0.0,7,6,0,187,2015
2015-07-07,55.0,55.040001,52.153999,53.576,53.576,30525500.0,12.54,2.67,68.08,16.5,0.0,7,7,1,188,2015
2015-07-08,51.863998,52.16,50.862,50.992001,50.992001,31105500.0,12.98,2.61,68.82,19.75,0.0,7,8,2,189,2015
2015-07-09,51.816002,52.59,51.358002,51.584,51.584,16670500.0,12.1,2.25,70.3,23.75,0.0,7,9,3,190,2015
2015-07-10,52.444,52.599998,51.563999,51.830002,51.830002,13054500.0,14.52,1.47,62.9,20.25,0.0,7,10,4,191,2015
2015-07-13,52.450001,52.509998,51.209999,52.431999,52.431999,14801500.0,11.66,1.65,62.16,19.25,0.0,7,13,0,194,2015
2015-07-14,52.419998,53.198002,52.102001,53.130001,53.130001,9538000.0,11.0,1.59,68.82,13.75,0.0,7,14,1,195,2015
2015-07-15,53.348,53.498001,52.416,52.627998,52.627998,10108000.0,11.22,2.22,68.08,20.75,0.0,7,15,2,196,2015
2015-07-16,52.844002,53.439999,52.632,53.335999,53.335999,8080000.0,12.1,1.92,62.9,20.75,0.0,7,16,3,197,2015
2015-07-17,54.5,55.108002,53.650002,54.931999,54.931999,25020500.0,20.02,2.37,67.34,23.0,0.0,7,17,4,198,2015
2015-07-20,55.0,57.330002,54.507999,56.452,56.452,24892500.0,15.18,2.76,73.26,17.25,0.0,7,20,0,201,2015
2015-07-21,54.009998,54.700001,53.310001,53.354,53.354,30543500.0,14.52,2.34,69.56,16.5,0.0,7,21,1,202,2015
2015-07-22,52.254002,53.888,52.172001,53.574001,53.574001,15525000.0,12.98,1.92,62.16,24.5,0.0,7,22,2,203,2015
2015-07-23,53.93,53.98,53.054001,53.439999,53.439999,11136000.0,16.72,2.37,67.34,24.0,0.0,7,23,3,204,2015
2015-07-24,53.476002,54.217999,52.784,53.082001,53.082001,14182500.0,13.42,2.34,72.52,19.0,0.0,7,24,4,205,2015
2015-07-27,52.486,52.886002,50.158001,50.602001,50.602001,23471000.0,12.1,2.01,71.78,12.5,0.0,7,27,0,208,2015
2015-07-28,51.150002,53.080002,50.368,52.964001,52.964001,19479000.0,11.88,3.0,74.0,19.25,0.0,7,28,1,209,2015
2015-07-29,52.854,53.577999,52.400002,52.764,52.764,13950500.0,12.32,1.95,70.3,23.25,0.0,7,29,2,210,2015
2015-07-30,52.537998,53.388,52.422001,53.358002,53.358002,10173000.0,13.2,1.71,71.03999999999999,15.25,0.0,7,30,3,211,2015
2015-07-31,53.52,53.872002,53.023998,53.23,53.23,11113000.0,13.42,2.07,64.38,14.5,0.0,7,31,4,212,2015
2015-08-03,53.257999,53.341999,51.414001,51.998001,51.998001,12767500.0,13.34,1.68,71.0,16.79,0.0,8,3,0,215,2015
2015-08-04,52.001999,53.344002,51.667999,53.256001,53.256001,11762500.0,14.26,1.83,65.32,13.11,0.0,8,4,1,216,2015
2015-08-05,52.716,54.200001,52.080002,54.026001,54.026001,31071500.0,17.02,2.64,63.9,11.96,0.0,8,5,2,217,2015
2015-08-06,49.908001,51.0,47.223999,49.226002,49.226002,73119000.0,21.62,2.22,61.06,19.32,0.0,8,6,3,218,2015
2015-08-07,48.716,48.745998,47.678001,48.501999,48.501999,25367000.0,19.55,2.67,57.51,13.57,0.0,8,7,4,219,2015
2015-08-10,47.630001,48.594002,47.209999,48.228001,48.228001,20929500.0,14.95,3.0,65.32,8.280000000000001,0.0,8,10,0,222,2015
2015-08-11,47.43,47.860001,46.888,47.473999,47.473999,21324500.0,13.11,1.86,66.03,15.18,0.0,8,11,1,223,2015
2015-08-12,47.0,47.953999,46.548,47.633999,47.633999,18640000.0,12.19,1.65,68.16,17.94,0.0,8,12,2,224,2015
2015-08-13,47.972,49.296001,47.824001,48.501999,48.501999,23446000.0,14.49,2.07,56.09,12.19,0.0,8,13,3,225,2015
2015-08-14,49.448002,49.585999,48.354,48.630001,48.630001,21824000.0,15.87,2.79,65.32,18.17,0.0,8,14,4,226,2015
2015-08-17,51.112,51.318001,50.102001,50.998001,50.998001,35883500.0,13.34,1.68,68.16,17.48,0.0,8,17,0,229,2015
2015-08-18,51.076,52.189999,50.712002,52.144001,52.144001,20975000.0,13.34,1.89,63.19,16.330000000000002,0.0,8,18,1,230,2015
2015-08-19,52.066002,52.130001,51.004002,51.049999,51.049999,18021500.0,13.57,1.83,63.9,12.88,0.0,8,19,2,231,2015
2015-08-20,50.411999,50.911999,48.380001,48.436001,48.436001,24529000.0,14.95,1.89,63.19,18.86,0.0,8,20,3,232,2015
2015-08-21,47.200001,48.759998,46.102001,46.153999,46.153999,32951000.0,14.49,2.52,66.03,11.96,0.0,8,21,4,233,2015
2015-08-24,40.557999,46.279999,39.0,43.773998,43.773998,47908000.0,14.72,1.95,65.32,23.0,0.0,8,24,0,236,2015
2015-08-25,46.104,46.18,43.824001,44.006001,44.006001,21636500.0,13.57,2.1,66.03,10.35,0.0,8,25,1,237,2015
2015-08-26,45.585999,45.599998,43.102001,44.967999,44.967999,24815000.0,12.65,1.68,56.8,11.27,0.0,8,26,2,238,2015
2015-08-27,46.200001,48.950001,46.161999,48.598,48.598,38280000.0,20.93,2.43,66.74,9.2,0.0,8,27,3,239,2015
2015-08-28,48.372002,50.290001,48.313999,49.695999,49.695999,27568500.0,23.0,1.83,61.06,16.560000000000002,0.0,8,28,4,240,2015
2015-08-31,49.124001,50.990002,49.102001,49.812,49.812,23501000.0,16.330000000000002,1.74,68.86999999999999,12.19,0.0,8,31,0,243,2015
2015-09-01,48.068001,49.200001,47.394001,47.726002,47.726002,27274000.0,7.92,0.6000000000000001,64.68,17.82,0.0,9,1,1,244,2015
2015-09-02,49.060001,49.576,47.956001,49.537998,49.537998,23146000.0,9.6,0.95,63.14,18.09,0.0,9,2,2,245,2015
2015-09-03,50.411999,50.416,49.0,49.113998,49.113998,20974000.0,11.76,1.0,76.23,25.65,0.0,9,3,3,246,2015
2015-09-04,48.178001,48.818001,47.639999,48.386002,48.386002,18446000.0,8.16,0.8500000000000001,60.83,15.12,0.0,9,4,4,247,2015
2015-09-08,49.009998,49.832001,48.810001,49.633999,49.633999,15691000.0,6.0,0.75,66.99,10.8,0.0,9,8,1,251,2015
2015-09-09,50.41,50.849998,49.66,49.782001,49.782001,16954000.0,5.76,1.0,63.91,23.49,0.0,9,9,2,252,2015
2015-09-10,49.445999,50.144001,49.066002,49.695999,49.695999,13545000.0,6.48,5.0,77.0,17.55,0.0,9,10,3,253,2015
2015-09-11,49.528,50.048,48.945999,50.048,50.048,11754000.0,6.96,4.1000000000000005,64.68,15.93,0.0,9,11,4,254,2015
2015-09-14,50.220001,50.849998,49.933998,50.638,50.638,14454500.0,6.24,1.2000000000000002,67.76,21.33,0.0,9,14,0,257,2015
2015-09-15,50.549999,50.919998,49.900002,50.714001,50.714001,14667500.0,7.68,1.15,66.99,24.57,0.0,9,15,1,258,2015
2015-09-16,50.608002,52.576,50.576,52.450001,52.450001,22085500.0,6.48,1.15,64.68,15.39,0.0,9,16,2,259,2015
2015-09-17,52.792,53.099998,52.138,52.414001,52.414001,17929000.0,5.279999999999999,1.2000000000000002,68.53,27.0,0.0,9,17,3,260,2015
2015-09-18,51.591999,52.764,51.5,52.124001,52.124001,18815500.0,6.24,1.3,68.53,7.290000000000001,0.0,9,18,4,261,2015
2015-09-21,52.796001,54.313999,51.16,52.84,52.84,30601000.0,6.0,1.0,68.53,19.44,0.0,9,21,0,264,2015
2015-09-22,51.806,52.529999,51.174,52.188,52.188,18322000.0,6.24,1.1,65.45,16.200000000000003,0.0,9,22,1,265,2015
2015-09-23,52.389999,52.416,51.515999,52.212002,52.212002,13004000.0,6.0,0.9,64.68,17.82,0.0,9,23,2,266,2015
2015-09-24,51.905998,52.689999,51.242001,52.624001,52.624001,17241000.0,6.48,0.8,66.22,21.33,0.0,9,24,3,267,2015
2015-09-25,53.321999,53.382,51.23,51.382,51.382,18867000.0,6.24,1.1,62.370000000000005,14.580000000000002,0.0,9,25,4,268,2015
2015-09-28,51.470001,51.958,49.321999,49.686001,49.686001,24505500.0,6.24,1.15,63.14,12.69,0.0,9,28,0,271,2015
2015-09-29,50.091999,50.945999,49.091999,49.330002,49.330002,18516000.0,8.64,1.05,60.83,9.18,0.0,9,29,1,272,2015
2015-09-30,50.400002,50.48,48.467999,49.68,49.68,24648000.0,24.0,1.8,62.370000000000005,21.6,0.0,9,30,2,273,2015
2015-10-01,49.501999,49.700001,47.425999,47.976002,47.976002,22865000.0,24.0,2.6,56.21,21.5,0.0,10,1,3,274,2015
2015-10-02,47.119999,49.540001,46.986,49.514,49.514,22120000.0,15.84,2.72,56.21,17.75,0.0,10,2,4,275,2015
2015-10-05,49.768002,49.967999,48.826,49.23,49.23,18449500.0,13.68,2.8000000000000003,56.21,21.0,0.0,10,5,0,278,2015
2015-10-06,48.0,48.605999,47.116001,48.292,48.292,26126000.0,13.44,2.28,54.67,18.5,0.0,10,6,1,279,2015
2015-10-07,47.326,47.540001,45.824001,46.391998,46.391998,34070000.0,12.72,2.24,50.82,14.5,0.0,10,7,2,280,2015
2015-10-08,46.015999,46.144001,44.262001,45.344002,45.344002,30666000.0,11.04,1.76,51.59,25.0,0.0,10,8,3,281,2015
2015-10-09,44.186001,44.874001,43.672001,44.138,44.138,30792000.0,12.24,3.48,54.67,19.5,0.0,10,9,4,282,2015
2015-10-12,44.598,44.599998,43.054001,43.116001,43.116001,19181500.0,11.76,2.12,56.21,9.5,0.0,10,12,0,285,2015
2015-10-13,42.655998,44.504002,42.226002,43.849998,43.849998,25857500.0,10.8,2.44,53.9,17.0,0.0,10,13,1,286,2015
2015-10-14,44.133999,44.189999,43.085999,43.375999,43.375999,15522000.0,10.32,2.12,56.21,15.75,0.0,10,14,2,287,2015
2015-10-15,43.285999,44.346001,42.740002,44.262001,44.262001,14221000.0,16.56,2.76,53.13,15.5,0.0,10,15,3,288,2015
