Trade date,Settlement date,Transaction category,"Trade amount (in millions, USD)",Issuer,Security description,CUSIP,Price,"Accrued interest (in dollars, USD)","Total amount transferred (in millions, USD)",Counterparty,,
Aug 14 2019,Aug 15 2019,Purchase, 25.0 ,TSY,B 11/14/19          ,912796SS9,99.51464844, -   , 24.9 ,BNP Paribas Securities Corp.,,
Aug 14 2019,Aug 15 2019,Purchase, 50.0 ,TSY,B 11/14/19          ,912796SS9,99.51531250, -   , 49.8 ,"Bank of Nova Scotia, New York Agency",,
Aug 14 2019,Aug 15 2019,Purchase, 100.0 ,TSY,B 05/21/20          ,912796SR1,98.64277344, -   , 98.6 ,Mizuho Securities USA LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 1.0 ,TSY,B 07/16/20          ,912796SZ3,98.36667969, -   , 1.0 ,HSBC Securities (USA) Inc.,,
Aug 14 2019,Aug 15 2019,Purchase, 100.0 ,TSY,B 10/08/19          ,912796VY2,99.70675781, -   , 99.7 ,TD Securities (USA) LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 25.0 ,TSY,B 11/14/19          ,912796SS9,99.51593750, -   , 24.9 ,BNP Paribas Securities Corp.,,
Aug 14 2019,Aug 15 2019,Purchase, 50.0 ,TSY,B 11/14/19          ,912796SS9,99.51339844, -   , 49.8 ,Morgan Stanley & Co. LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 100.0 ,TSY,B 11/14/19          ,912796SS9,99.51214844, -   , 99.5 ,TD Securities (USA) LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 50.0 ,TSY,B 05/21/20          ,912796SR1,98.63500000, -   , 49.3 ,NatWest Markets Securities Inc.,,
Aug 14 2019,Aug 15 2019,Purchase, 25.0 ,TSY,B 11/14/19          ,912796SS9,99.51277344, -   , 24.9 ,Amherst Pierpont Securities LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 5.0 ,TSY,B 11/29/19          ,912796SU4,99.44644531, -   , 5.0 ,Barclays Capital Inc.,,
Aug 14 2019,Aug 15 2019,Purchase, 250.0 ,TSY,B 11/14/19          ,912796SS9,99.51464844, -   , 248.8 ,Mizuho Securities USA LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 50.0 ,TSY,B 11/14/19          ,912796SS9,99.51593750, -   , 49.8 ,"Nomura Securities International, Inc.",,
Aug 14 2019,Aug 15 2019,Purchase, 250.0 ,TSY,B 11/14/19          ,912796SS9,99.51593750, -   , 248.8 ,Mizuho Securities USA LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 25.0 ,TSY,B 11/14/19          ,912796SS9,99.51531250, -   , 24.9 ,BNP Paribas Securities Corp.,,
Aug 14 2019,Aug 15 2019,Purchase, 500.0 ,TSY,B 11/14/19          ,912796SS9,99.51531250, -   , 497.6 ,Citigroup Global Markets Inc.,,
Aug 14 2019,Aug 15 2019,Purchase, 25.0 ,TSY,B 11/14/19          ,912796SS9,99.51464844, -   , 24.9 ,Amherst Pierpont Securities LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 50.0 ,TSY,B 09/17/19          ,912796VV8,99.81644531, -   , 49.9 ,TD Securities (USA) LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 250.0 ,TSY,B 04/23/20          ,912796SM2,98.76800781, -   , 246.9 ,BNP Paribas Securities Corp.,,
Aug 14 2019,Aug 15 2019,Purchase, 50.0 ,TSY,B 11/14/19          ,912796SS9,99.51339844, -   , 49.8 ,"Nomura Securities International, Inc.",,
Aug 14 2019,Aug 15 2019,Purchase, 200.0 ,TSY,B 11/14/19          ,912796SS9,99.51464844, -   , 199.0 ,Daiwa Capital Markets America Inc.,,
Aug 14 2019,Aug 15 2019,Purchase, 100.0 ,TSY,B 11/14/19          ,912796SS9,99.51464844, -   , 99.5 ,"Nomura Securities International, Inc.",,
Aug 14 2019,Aug 15 2019,Purchase, 10.0 ,TSY,B 11/14/19          ,912796SS9,99.51718750, -   , 10.0 ,"Credit Suisse AG, New York Branch",,
Aug 14 2019,Aug 15 2019,Purchase, 200.0 ,TSY,B 11/14/19          ,912796SS9,99.51339844, -   , 199.0 ,Cantor Fitzgerald & Co.,,
Aug 14 2019,Aug 15 2019,Purchase, 50.0 ,TSY,B 11/14/19          ,912796SS9,99.51718750, -   , 49.8 ,Jefferies LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 25.0 ,TSY,B 11/14/19          ,912796SS9,99.51339844, -   , 24.9 ,Amherst Pierpont Securities LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 50.0 ,TSY,B 05/21/20          ,912796SR1,98.64277344, -   , 49.3 ,NatWest Markets Securities Inc.,,
Aug 14 2019,Aug 15 2019,Purchase, 135.0 ,TSY,B 02/06/20          ,912796TE9,99.10070313, -   , 133.8 ,BNP Paribas Securities Corp.,,
Aug 15 2019,Aug 16 2019,Purchase, 50.0 ,TSY,TN 01.375 04/30/20  ,912828K58,99.66796875," 201,766.30 ", 50.0 ,"Nomura Securities International, Inc.",,
Aug 15 2019,Aug 16 2019,Purchase, 3.0 ,TSY,TN 01.125 04/30/20  ,912828VA5,99.49218750," 9,904.89 ", 3.0 ,"RBC Capital Markets, LLC",,
Aug 15 2019,Aug 16 2019,Purchase, 500.0 ,TSY,TN 01.125 04/30/20  ,912828VA5,99.48828125," 1,650,815.20 ", 499.1 ,"Wells Fargo Securities, LLC",,
Aug 15 2019,Aug 16 2019,Purchase, 25.0 ,TSY,TN 01.375 03/31/20  ,912828J84,99.67968750," 129,610.66 ", 25.0 ,Amherst Pierpont Securities LLC,,
Aug 15 2019,Aug 16 2019,Purchase, 50.0 ,TSY,TN 02.375 04/30/20  ,9128284J6,100.35937500," 348,505.43 ", 50.5 ,Mizuho Securities USA LLC,,
Aug 15 2019,Aug 16 2019,Purchase, 50.0 ,TSY,TN 01.125 03/31/20  ,912828UV0,99.53515625," 212,090.16 ", 50.0 ,Goldman Sachs & Co. LLC,,
Aug 15 2019,Aug 16 2019,Purchase, 75.0 ,TSY,TN 02.375 04/30/20  ,9128284J6,100.36328125," 522,758.15 ", 75.8 ,HSBC Securities (USA) Inc.,,
Aug 15 2019,Aug 16 2019,Purchase, 25.0 ,TSY,TN 01.375 04/30/20  ,912828K58,99.66796875," 100,883.15 ", 25.0 ,HSBC Securities (USA) Inc.,,
Aug 15 2019,Aug 16 2019,Purchase, 50.0 ,TSY,TN 01.375 03/31/20  ,912828J84,99.68359375," 259,221.31 ", 50.1 ,BNP Paribas Securities Corp.,,
Aug 15 2019,Aug 16 2019,Purchase, 25.0 ,TSY,TN 03.500 05/15/20  ,912828ND8,101.21875000," 221,127.72 ", 25.5 ,Goldman Sachs & Co. LLC,,
Aug 15 2019,Aug 16 2019,Purchase, 25.0 ,TSY,TN 03.500 05/15/20  ,912828ND8,101.22656250," 221,127.72 ", 25.5 ,Goldman Sachs & Co. LLC,,
Aug 15 2019,Aug 16 2019,Purchase, 50.0 ,TSY,TN 02.375 04/30/20  ,9128284J6,100.35937500," 348,505.43 ", 50.5 ,HSBC Securities (USA) Inc.,,
Aug 15 2019,Aug 16 2019,Purchase, 350.0 ,TSY,TN 01.125 04/30/20  ,912828VA5,99.48437500," 1,155,570.64 ", 349.4 ,"Wells Fargo Securities, LLC",,
Aug 15 2019,Aug 16 2019,Purchase, 248.0 ,TSY,TN 01.125 04/30/20  ,912828VA5,99.49218750," 818,804.34 ", 247.6 ,"Wells Fargo Securities, LLC",,
Aug 15 2019,Aug 16 2019,Purchase, 25.0 ,TSY,TN 01.375 03/31/20  ,912828J84,99.68750000," 129,610.66 ", 25.1 ,Amherst Pierpont Securities LLC,,
Aug 15 2019,Aug 16 2019,Purchase, 50.0 ,TSY,TN 01.375 03/31/20  ,912828J84,99.68750000," 259,221.31 ", 50.1 ,Mizuho Securities USA LLC,,
Aug 19 2019,Aug 20 2019,Purchase, 250.0 ,TSY,TN 01.625 07/31/20  ,912828XM7,99.87109375," 220,788.05 ", 249.9 ,Morgan Stanley & Co. LLC,,
Aug 19 2019,Aug 20 2019,Purchase, 100.0 ,TSY,TN 01.625 06/30/20  ,912828XH8,99.87109375," 225,203.80 ", 100.1 ,Morgan Stanley & Co. LLC,,
Aug 19 2019,Aug 20 2019,Purchase, 369.0 ,TSY,TN 02.625 07/31/20  ,912828Y46,100.80859375," 526,426.62 ", 372.5 ,BNP Paribas Securities Corp.,,
Aug 19 2019,Aug 20 2019,Purchase, 23.0 ,TSY,TN 02.625 07/31/20  ,912828Y46,100.79687500," 32,812.50 ", 23.2 ,Barclays Capital Inc.,,
Aug 19 2019,Aug 20 2019,Purchase, 23.0 ,TSY,TN 01.875 06/30/20  ,912828VJ6,100.08203125," 59,765.62 ", 23.1 ,TD Securities (USA) LLC,,
Aug 19 2019,Aug 20 2019,Purchase, 50.0 ,TSY,TN 01.625 07/31/20  ,912828XM7,99.87890625," 44,157.61 ", 50.0 ,Daiwa Capital Markets America Inc.,,
Aug 19 2019,Aug 20 2019,Purchase, 9.0 ,TSY,TN 01.625 07/31/20  ,912828XM7,99.87500000," 7,948.37 ", 9.0 ,"RBC Capital Markets, LLC",,
Aug 19 2019,Aug 20 2019,Purchase, 159.0 ,TSY,TN 01.625 07/31/20  ,912828XM7,99.87500000," 140,421.20 ", 158.9 ,BNP Paribas Securities Corp.,,
Aug 19 2019,Aug 20 2019,Purchase, 19.0 ,TSY,TN 02.625 07/31/20  ,912828Y46,100.81250000," 27,105.98 ", 19.2 ,Daiwa Capital Markets America Inc.,,
Aug 19 2019,Aug 20 2019,Purchase, 135.0 ,TSY,TN 02.625 07/31/20  ,912828Y46,100.81250000," 192,595.11 ", 136.3 ,BNP Paribas Securities Corp.,,
Aug 19 2019,Aug 20 2019,Purchase, 100.0 ,TSY,TN 01.625 07/31/20  ,912828XM7,99.87890625," 88,315.22 ", 100.0 ,"Nomura Securities International, Inc.",,
Aug 19 2019,Aug 20 2019,Purchase, 250.0 ,TSY,TN 01.625 07/31/20  ,912828XM7,99.87500000," 220,788.05 ", 249.9 ,Morgan Stanley & Co. LLC,,
Aug 19 2019,Aug 20 2019,Purchase, 86.0 ,TSY,TN 01.625 07/31/20  ,912828XM7,99.87500000," 75,951.09 ", 86.0 ,"Wells Fargo Securities, LLC",,
Aug 19 2019,Aug 20 2019,Purchase, 100.0 ,TSY,TN 01.625 07/31/20  ,912828XM7,99.87890625," 88,315.22 ", 100.0 ,BNP Paribas Securities Corp.,,
Aug 19 2019,Aug 20 2019,Purchase, 8.0 ,TSY,TN 02.625 07/31/20  ,912828Y46,100.81250000," 11,413.04 ", 8.1 ,"Bank of Nova Scotia, New York Agency",,
Aug 19 2019,Aug 20 2019,Purchase, 50.0 ,TSY,TN 01.625 07/31/20  ,912828XM7,99.87500000," 44,157.61 ", 50.0 ,"Nomura Securities International, Inc.",,
Aug 19 2019,Aug 20 2019,Purchase, 50.0 ,TSY,TN 01.625 07/31/20  ,912828XM7,99.87109375," 44,157.61 ", 50.0 ,"Nomura Securities International, Inc.",,
Aug 19 2019,Aug 20 2019,Purchase, 20.0 ,TSY,TN 02.625 07/31/20  ,912828Y46,100.81250000," 28,532.61 ", 20.2 ,Goldman Sachs & Co. LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 02.250 04/30/21  ,912828WG1,101.14843750," 6,908.97 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 120.0 ,TSY,TN 02.250 03/31/21  ,912828C57,101.07031250," 1,054,918.03 ", 122.3 ,Mizuho Securities USA LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 25.0 ,TSY,TN 02.250 03/31/21  ,912828C57,101.07031250," 219,774.59 ", 25.5 ,Cantor Fitzgerald & Co.,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 01.250 03/31/21  ,912828Q37,99.48437500," 4,883.88 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 100.0 ,TSY,TN 02.625 07/15/21  ,912828Y20,102.04687500," 263,926.64 ", 102.3 ,Deutsche Bank Securities Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 25.0 ,TSY,TN 02.625 07/15/21  ,912828Y20,102.04687500," 65,981.66 ", 25.6 ,"BofA Securities, Inc.",,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 02.125 09/30/21  ,912828F21,101.29687500," 8,302.60 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 100.0 ,TSY,TN 02.250 04/30/21  ,912828WG1,101.15234375," 690,896.74 ", 101.8 ,Morgan Stanley & Co. LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 100.0 ,TSY,TN 02.500 02/28/21  ,9128286D7,101.36718750," 1,182,065.22 ", 102.5 ,Citigroup Global Markets Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 150.0 ,TSY,TN 02.500 02/28/21  ,9128286D7,101.36718750," 1,773,097.83 ", 153.8 ,Mizuho Securities USA LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 02.625 07/15/21  ,912828Y20,102.04687500," 2,639.27 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 144.0 ,TSY,TN 01.375 04/30/21  ,912828Q78,99.70312500," 607,989.14 ", 144.2 ,Amherst Pierpont Securities LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 26.0 ,TSY,TN 01.375 04/30/21  ,912828Q78,99.70312500," 109,775.82 ", 26.0 ,Goldman Sachs & Co. LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 100.0 ,TSY,TN 02.250 04/30/21  ,912828WG1,101.14843750," 690,896.74 ", 101.8 ,Citigroup Global Markets Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 02.250 03/31/21  ,912828C57,101.06250000," 8,790.98 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 01.250 03/31/21  ,912828Q37,99.49218750," 4,883.88 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 10.0 ,TSY,TN 01.125 09/30/21  ,912828T34,99.22265625," 43,954.92 ", 10.0 ,Goldman Sachs & Co. LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 02.500 02/28/21  ,9128286D7,101.37109375," 11,820.65 ", 1.0 ,Mizuho Securities USA LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 25.0 ,TSY,TN 02.500 02/28/21  ,9128286D7,101.36718750," 295,516.30 ", 25.6 ,HSBC Securities (USA) Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 25.0 ,TSY,TN 02.500 02/28/21  ,9128286D7,101.37109375," 295,516.30 ", 25.6 ,"Bank of Nova Scotia, New York Agency",,
Aug 20 2019,Aug 21 2019,Purchase, 50.0 ,TSY,TN 01.375 04/30/21  ,912828Q78,99.69921875," 211,107.34 ", 50.1 ,Goldman Sachs & Co. LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 02.250 03/31/21  ,912828C57,101.07031250," 8,790.98 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 25.0 ,TSY,TN 02.500 02/28/21  ,9128286D7,101.37109375," 295,516.30 ", 25.6 ,Cantor Fitzgerald & Co.,,
Aug 20 2019,Aug 21 2019,Purchase, 10.0 ,TSY,TN 02.625 07/15/21  ,912828Y20,102.04687500," 26,392.66 ", 10.2 ,Jefferies LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 100.0 ,TSY,TN 02.250 04/30/21  ,912828WG1,101.14843750," 690,896.74 ", 101.8 ,Morgan Stanley & Co. LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 01.125 06/30/21  ,912828S27,99.25781250," 1,589.67 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 40.0 ,TSY,TN 02.000 10/31/21  ,912828F96,101.08593750," 245,652.17 ", 40.7 ,Morgan Stanley & Co. LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 100.0 ,TSY,TN 01.125 09/30/21  ,912828T34,99.23046875," 439,549.18 ", 99.7 ,Citigroup Global Markets Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 25.0 ,TSY,TN 02.500 02/28/21  ,9128286D7,101.36718750," 295,516.30 ", 25.6 ,"Bank of Nova Scotia, New York Agency",,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 02.375 03/15/21  ,9128284B3,101.22656250," 10,261.55 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 02.625 07/15/21  ,912828Y20,102.03906250," 2,639.27 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 50.0 ,TSY,TN 02.250 04/30/21  ,912828WG1,101.15234375," 345,448.37 ", 50.9 ,HSBC Securities (USA) Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 01.125 06/30/21  ,912828S27,99.25000000," 1,589.67 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 100.0 ,TSY,TN 01.125 09/30/21  ,912828T34,99.23046875," 439,549.18 ", 99.7 ,Deutsche Bank Securities Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 01.125 09/30/21  ,912828T34,99.22656250," 4,395.49 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 25.0 ,TSY,TN 02.375 04/15/21  ,9128284G2,101.31250000," 207,650.27 ", 25.5 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 02.375 04/15/21  ,9128284G2,101.30468750," 8,306.01 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 25.0 ,TSY,TN 02.625 07/15/21  ,912828Y20,102.04296875," 65,981.66 ", 25.6 ,"BofA Securities, Inc.",,
Aug 20 2019,Aug 21 2019,Purchase, 10.0 ,TSY,TN 02.375 04/15/21  ,9128284G2,101.30468750," 83,060.11 ", 10.2 ,Goldman Sachs & Co. LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 25.0 ,TSY,TN 02.500 02/28/21  ,9128286D7,101.37109375," 295,516.30 ", 25.6 ,HSBC Securities (USA) Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 11.0 ,TSY,TN 02.500 02/28/21  ,9128286D7,101.36718750," 130,027.17 ", 11.3 ,Amherst Pierpont Securities LLC,,
Aug 20 2019,Aug 21 2019,Purchase, 1.0 ,TSY,TN 02.500 02/28/21  ,9128286D7,101.36718750," 11,820.65 ", 1.0 ,Barclays Capital Inc.,,
Aug 20 2019,Aug 21 2019,Purchase, 240.0 ,TSY,TN 02.625 07/15/21  ,912828Y20,102.04296875," 633,423.93 ", 245.5 ,"Societe Generale, New York Branch",,
Aug 22 2019,Aug 23 2019,Purchase, 1.0 ,TSY,TB 07.250 08/15/22  ,912810EM6,116.62500000," 1,576.09 ", 1.2 ,J.P. Morgan Securities LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 1.0 ,TSY,TN 01.625 08/15/22  ,912828TJ9,100.30468750, 353.26 , 1.0 ,"Nomura Securities International, Inc.",,
Aug 22 2019,Aug 23 2019,Purchase, 100.0 ,TSY,TN 01.875 03/31/22  ,912828W89,100.85546875," 742,827.86 ", 101.6 ,Goldman Sachs & Co. LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 135.0 ,TSY,TN 01.875 03/31/22  ,912828W89,100.86718750," 1,002,817.61 ", 137.2 ,Morgan Stanley & Co. LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 100.0 ,TSY,TN 01.875 01/31/22  ,912828V72,100.77734375," 117,187.50 ", 100.9 ,Citigroup Global Markets Inc.,,
Aug 22 2019,Aug 23 2019,Purchase, 20.0 ,TSY,TN 01.875 02/28/22  ,912828W55,100.82421875," 179,347.83 ", 20.3 ,"BofA Securities, Inc.",,
Aug 22 2019,Aug 23 2019,Purchase, 50.0 ,TSY,TN 01.875 04/30/22  ,912828X47,100.89843750," 292,968.75 ", 50.7 ,Goldman Sachs & Co. LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 1.0 ,TSY,TB 07.250 08/15/22  ,912810EM6,116.60937500," 1,576.09 ", 1.2 ,J.P. Morgan Securities LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 25.0 ,TSY,TN 01.750 05/31/22  ,912828XR6,100.60546875," 100,409.84 ", 25.3 ,"Bank of Nova Scotia, New York Agency",,
Aug 22 2019,Aug 23 2019,Purchase, 5.0 ,TSY,TN 01.875 03/31/22  ,912828W89,100.85937500," 37,141.39 ", 5.1 ,"Nomura Securities International, Inc.",,
Aug 22 2019,Aug 23 2019,Purchase, 100.0 ,TSY,TN 02.000 12/31/21  ,912828U81,101.01562500," 293,478.26 ", 101.3 ,"BofA Securities, Inc.",,
Aug 22 2019,Aug 23 2019,Purchase, 1.0 ,TSY,TB 07.250 08/15/22  ,912810EM6,116.59375000," 1,576.09 ", 1.2 ,J.P. Morgan Securities LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 1.0 ,TSY,TN 01.875 07/31/22  ,9128282P4,101.01562500," 1,171.88 ", 1.0 ,Barclays Capital Inc.,,
Aug 22 2019,Aug 23 2019,Purchase, 6.0 ,TSY,TN 01.875 02/28/22  ,912828W55,100.82812500," 53,804.35 ", 6.1 ,J.P. Morgan Securities LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 25.0 ,TSY,TN 01.750 05/31/22  ,912828XR6,100.59765625," 100,409.84 ", 25.2 ,"Bank of Nova Scotia, New York Agency",,
Aug 22 2019,Aug 23 2019,Purchase, 1.0 ,TSY,TN 01.750 05/31/22  ,912828XR6,100.60156250," 4,016.39 ", 1.0 ,Barclays Capital Inc.,,
Aug 22 2019,Aug 23 2019,Purchase, 1.0 ,TSY,TN 01.625 08/15/22  ,912828TJ9,100.29687500, 353.26 , 1.0 ,"Nomura Securities International, Inc.",,
Aug 22 2019,Aug 23 2019,Purchase, 25.0 ,TSY,TN 01.750 05/31/22  ,912828XR6,100.60546875," 100,409.84 ", 25.3 ,"BofA Securities, Inc.",,
Aug 22 2019,Aug 23 2019,Purchase, 100.0 ,TSY,TN 01.875 03/31/22  ,912828W89,100.85937500," 742,827.86 ", 101.6 ,Goldman Sachs & Co. LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 50.0 ,TSY,TN 01.875 01/31/22  ,912828V72,100.77734375," 58,593.75 ", 50.4 ,Goldman Sachs & Co. LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 1.0 ,TSY,TB 07.250 08/15/22  ,912810EM6,116.60156250," 1,576.09 ", 1.2 ,J.P. Morgan Securities LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 1.0 ,TSY,TB 07.250 08/15/22  ,912810EM6,116.58593750," 1,576.09 ", 1.2 ,J.P. Morgan Securities LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 150.0 ,TSY,TN 01.750 05/15/22  ,912828SV3,100.59765625," 713,315.22 ", 151.6 ,Citigroup Global Markets Inc.,,
Aug 22 2019,Aug 23 2019,Purchase, 234.0 ,TSY,TN 01.875 01/31/22  ,912828V72,100.77343750," 274,218.75 ", 236.1 ,"BofA Securities, Inc.",,
Aug 22 2019,Aug 23 2019,Purchase, 50.0 ,TSY,TN 01.875 02/28/22  ,912828W55,100.82421875," 448,369.57 ", 50.9 ,HSBC Securities (USA) Inc.,,
Aug 22 2019,Aug 23 2019,Purchase, 1.0 ,TSY,TN 02.250 04/15/22  ,9128286M7,101.85156250," 7,991.80 ", 1.0 ,Barclays Capital Inc.,,
Aug 22 2019,Aug 23 2019,Purchase, 25.0 ,TSY,TN 01.750 05/31/22  ,912828XR6,100.60156250," 100,409.84 ", 25.3 ,"Bank of Nova Scotia, New York Agency",,
Aug 22 2019,Aug 23 2019,Purchase, 50.0 ,TSY,TN 01.875 01/31/22  ,912828V72,100.77343750," 58,593.75 ", 50.4 ,Goldman Sachs & Co. LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 50.0 ,TSY,TN 01.875 04/30/22  ,912828X47,100.89453125," 292,968.75 ", 50.7 ,Goldman Sachs & Co. LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 15.0 ,TSY,TN 02.250 04/15/22  ,9128286M7,101.85156250," 119,877.05 ", 15.4 ,"Societe Generale, New York Branch",,
Aug 22 2019,Aug 23 2019,Purchase, 19.0 ,TSY,TB 07.250 08/15/22  ,912810EM6,116.62500000," 29,945.65 ", 22.2 ,"BofA Securities, Inc.",,
Aug 22 2019,Aug 23 2019,Purchase, 50.0 ,TSY,TN 01.750 11/30/21  ,912828U65,100.41406250," 200,819.67 ", 50.4 ,Goldman Sachs & Co. LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 100.0 ,TSY,TN 01.875 03/31/22  ,912828W89,100.86328125," 742,827.86 ", 101.6 ,Goldman Sachs & Co. LLC,,
Aug 22 2019,Aug 23 2019,Purchase, 5.0 ,TSY,TN 01.875 03/31/22  ,912828W89,100.85546875," 37,141.39 ", 5.1 ,"Nomura Securities International, Inc.",,
